customerID,Churn
4719-UMSIY,No
6614-VBEGU,No
0880-TKATG,Yes
3811-VBYBZ,Yes
1480-BKXGA,No
2996-XAUVF,No
9076-AXYIK,No
5968-XQIVE,No
8896-RAZCR,No
4640-UHDOS,Yes
4933-IKULF,No
3583-EKAPL,Yes
1304-BCCFO,No
4104-PVRPS,No
9399-APLBT,Yes
2359-KMGLI,Yes
3780-DDGSE,No
4431-EDMIQ,No
0306-JAELE,Yes
6227-HWPWX,Yes
0486-LGCCH,No
0447-BEMNG,Yes
4612-SSVHJ,No
5168-MQQCA,No
5949-XIKAE,Yes
7971-HLVXI,No
9094-AZPHK,No
3649-JPUGY,No
4472-LVYGI,No
8372-JUXUI,Yes
3552-CTCYF,No
6778-YSNIH,No
0388-EOPEX,Yes
5756-OZRIO,No
6579-JPICP,No
8205-OTCHB,Yes
4134-BSXLX,No
0505-SPOOW,No
6235-VDHOM,Yes
7783-YKGDV,Yes
4374-YMUSQ,No
4513-CXYIX,No
3957-HHLMR,No
7803-XOCCZ,No
5736-YEJAX,No
5609-CEBID,Yes
8981-FJGLA,No
7218-HKQFK,Yes
4636-QRJKY,Yes
1135-LMECX,No
4332-MUOEZ,No
8535-SFUTN,No
5956-VKDTT,Yes
8677-HDZEE,No
2475-MROZF,No
9412-GHEEC,Yes
3482-ABPKK,No
6705-LXORM,No
0257-ZESQC,Yes
7531-GQHME,No
5174-ITUMV,No
4109-CYRBD,No
0913-XWSCN,No
6825-UYPFK,Yes
8397-MVTAZ,Yes
0750-EBAIU,No
8606-CIQUL,No
3571-DPYUH,No
7601-GNDYK,No
0356-OBMAC,No
8067-NIOYM,No
1403-GYAFU,No
4234-XTNEA,No
1297-VQDRP,No
9282-IZGQK,Yes
5348-CAGXB,No
0621-HJWXJ,No
5844-QVTAT,No
8905-IAZPF,No
5394-MEITZ,No
6859-QNXIQ,No
2782-LFZVW,No
2866-IKBTM,No
1342-JPNKI,Yes
2817-NTQDO,Yes
7129-AZJDE,No
6986-IJDHX,Yes
2560-PPCHE,No
4676-MQUEA,No
8138-EALND,No
3580-HYCSP,No
1352-HNSAW,No
2075-PUEPR,No
1982-FEBTD,No
5301-GAUUY,Yes
5791-KAJFD,No
2654-VBVPB,No
1154-HYWWO,No
2501-XWWTZ,No
3716-UVSPD,No
6815-ABQFQ,No
7343-EOBEU,No
3701-SFMUH,No
6103-LIANB,No
7319-VENRZ,No
5846-NEQVZ,No
6967-QIQRV,No
5781-RFZRP,No
0939-YAPAF,Yes
0308-IVGOK,No
7293-LSCDV,No
7025-WCBNE,No
5756-JYOJT,No
4710-FDUIZ,Yes
6030-REHUX,No
9548-LIGTA,No
5150-LJNSR,No
8270-RKSAP,No
6522-YRBXD,No
2640-LYMOV,No
1218-VKFPE,Yes
3627-FHKBK,Yes
2865-TCHJW,Yes
1423-BMPBQ,No
2393-DIVAI,No
5192-EBGOV,Yes
4568-KNYWR,No
8752-IMQOS,No
0742-LAFQK,No
0795-LAFGP,No
0619-OLYUR,No
5512-IDZEI,No
0459-SPZHJ,No
0215-BQKGS,No
9244-ZVAPM,No
0719-SYFRB,Yes
8208-EUMTE,No
5172-MIGPM,No
1710-RCXUS,No
0374-FIUCA,No
5839-SUYVZ,No
5173-ZXXXL,No
1096-ADRUX,No
2001-MCUUW,No
2731-GJRDG,No
4723-BEGSG,No
6516-NKQBO,No
8672-OAUPW,No
8207-DMRVL,No
3419-SNJJD,Yes
6543-CPZMK,Yes
4765-OXPPD,Yes
2804-ETQDK,No
6689-VRRTK,No
7138-GIRSH,No
9396-ZSFLL,No
6464-KEXXH,No
7134-MJPDY,No
5240-CAOYT,No
4059-IIEBK,No
4881-JVQOD,No
0516-UXRMT,No
4851-BQDNX,No
5148-HKFIR,No
1009-IRMNA,Yes
3003-CMDUU,No
5016-IBERQ,No
6797-UCJHZ,No
2469-DTSGX,No
4554-YGZIH,Yes
5099-BAILX,Yes
9931-KGHOA,No
1775-KWJKQ,No
7665-VIGUD,No
9411-TPQQV,No
7207-RMRDB,Yes
7954-MLBUN,No
2077-DDHJK,No
4913-EHYUI,Yes
0195-IESCP,Yes
9574-BOSMD,No
4580-TMHJU,Yes
0970-ETWGE,Yes
4908-XAXAY,No
8404-VLQFB,No
1626-ERCMM,Yes
0887-HJGAR,Yes
2391-IPLOP,No
5644-PDMZC,Yes
3509-GWQGF,No
9576-ANLXO,Yes
2024-BASKD,Yes
5845-BZZIB,No
1140-UKVZG,No
4160-AMJTL,Yes
5183-SNMJQ,No
8100-PNJMH,No
7838-LAZFO,No
4464-JCOLN,Yes
2085-JVGAD,No
5650-VDUDS,Yes
8095-WANWK,No
3030-ZKIWL,No
9565-FLVCG,No
8755-OGKNA,No
2800-VEQXM,No
7538-GWHML,Yes
5533-RJFTJ,No
3859-CVCET,Yes
0214-JHPFW,No
5642-MHDQT,No
3088-FVYWK,No
3276-HDUEG,Yes
9092-GDZKO,No
0823-HSCDJ,Yes
3729-OWRVL,No
2324-AALNO,No
0822-GAVAP,Yes
5760-IFJOZ,No
2826-UWHIS,No
1448-PWKYE,Yes
7501-IWUNG,No
4957-TREIR,No
7251-LJBQN,No
8040-MNRTF,No
1536-HBSWP,No
5313-FPXWG,No
0067-DKWBL,Yes
0946-FKYTX,No
5076-YVXCM,No
8262-COGGB,No
6663-JOCQO,No
9620-QJREV,No
2276-YDAVZ,Yes
2682-KEVRP,No
2480-JZOSN,No
0078-XZMHT,No
5896-NPFWW,Yes
9978-HYCIN,No
8338-QIUNR,No
1525-LNLOJ,No
9450-TRJUU,No
1766-GKNMI,No
6942-LBFDP,No
1456-TWCGB,No
7133-VBDCG,Yes
7596-ZYWBB,No
8329-UTMVM,No
3014-WJKSM,No
3347-YJZZE,No
1029-QFBEN,Yes
7929-DMBCV,No
9661-JALZV,No
5433-KYGHE,No
4312-KFRXN,No
5575-TPIZQ,No
0114-IGABW,No
9944-AEXBM,No
1853-ARAAQ,No
6952-OMNWB,No
4697-LUPSU,No
8434-VGEQQ,No
4952-YSOGZ,Yes
1589-AGTLK,Yes
5244-IRFIH,Yes
6549-YMFAW,No
4950-HKQTE,No
6786-OBWQR,No
2684-EIWEO,Yes
2753-JMMCV,No
6439-GTPCA,Yes
6621-YOBKI,No
1216-JWVUX,No
7564-GHCVB,No
1173-NOEYG,No
7595-EHCDL,No
6647-ZEDXT,No
2521-NPUZR,No
1307-TVUFB,No
7503-MIOGA,No
4381-MHQDC,No
6923-JHPMP,No
5138-WVKYJ,Yes
4018-PPNDW,No
1635-FJFCC,No
2499-AJYUA,No
6919-ELBGL,No
3966-HRMZA,No
6425-JWTDV,No
8405-IGQFX,No
8224-IVVPA,No
9477-LGWQI,No
1410-RSCMR,No
3115-CZMZD,No
0139-IVFJG,No
6683-VLCTZ,Yes
5730-DBDSI,No
0030-FNXPP,No
2189-WWOEW,Yes
5684-FJVYR,No
4013-GUXND,No
1894-IGFSG,Yes
7379-POKDZ,Yes
1266-NZYUI,No
7969-FFOWG,No
4718-DHSMV,No
5175-WLYXL,No
7817-OMJNA,No
8728-SKJLR,No
3137-NYQQI,No
7706-DZNKK,No
0236-HFWSV,Yes
3900-AQPHZ,Yes
5842-POCOP,Yes
2037-XJFUP,Yes
8823-RLPWL,No
9505-SQFSW,No
7314-OXENN,Yes
3758-CKOQL,No
0322-CHQRU,Yes
5676-CFLYY,No
7521-AFHAB,No
0285-INHLN,No
4678-DVQEO,Yes
5125-CNDSP,No
0691-IFBQW,Yes
4992-LTJNE,No
2202-OUTMO,No
0810-BDHAW,No
0229-LFJAF,No
7131-ZQZNK,No
3442-ZHHCC,No
5726-CVNYA,No
9871-ELEYA,No
4257-GAESD,No
5173-WXOQV,No
2040-OBMLJ,No
6286-ZHAOK,No
3807-XHCJH,No
3009-JWMPU,Yes
5671-RQRLP,No
1450-GALXR,Yes
8859-AXJZP,No
3174-AKMAS,No
3138-BKYAV,Yes
9926-PJHDQ,No
7382-DFJTU,No
2798-NYLMZ,No
4289-DTDKW,Yes
1820-TQVEV,Yes
2239-JALAW,Yes
4853-RULSV,Yes
8098-TDCBU,No
3551-GAEGL,No
4785-NKHCX,No
3196-NVXLZ,No
6275-YDUVO,Yes
0036-IHMOT,No
0115-TFERT,Yes
4178-EGMON,No
4220-TINQT,No
5318-YKDPV,No
7975-TZMLR,No
0295-QVKPB,No
4335-BSMJS,No
2311-QYMUQ,Yes
3643-AHCFP,Yes
9146-JRIOX,No
3104-OWCGK,Yes
5337-IIWKZ,No
9101-BWFSS,Yes
9650-VBUOG,No
3487-EARAT,No
2672-TGEFF,No
9231-ZJYAM,Yes
4250-WAROZ,No
8184-WMOFI,No
6982-SSHFK,Yes
6092-QZVPP,No
4625-LAMOB,No
0727-BMPLR,Yes
0392-BZIUW,No
1038-ZAGBI,Yes
6549-NNDYT,No
3027-ZTDHO,Yes
0422-OHQHQ,No
6916-HIJSE,No
2316-ESMLS,No
9778-OGKQZ,No
7408-OFWXJ,No
6007-TCTST,No
2252-NKNSI,No
8713-IGZSO,No
7905-TVXTA,No
7695-PKLCZ,No
2382-BCKQJ,Yes
8374-UULRV,No
2207-NHRJK,Yes
3224-DFQNQ,No
5275-PMFUT,No
4795-UXVCJ,No
9777-IQHWP,No
0947-MUGVO,Yes
9944-HKVVB,Yes
4124-MMETB,Yes
3671-SHRSP,Yes
0979-MOZQI,No
2732-ISEZX,No
3313-QKNKB,Yes
0323-XWWTN,No
1937-OTUKY,No
1573-LGXBA,No
1764-VUUMT,No
5073-WXOYN,Yes
4713-ZBURT,No
3050-GBUSH,No
0207-MDKNV,Yes
7876-AEHIG,No
7945-HLKEA,No
9342-VNIMQ,No
9851-KIELU,Yes
3523-BRGUW,No
3908-BLSYF,Yes
3199-NPKCN,No
5170-PTRKA,No
4661-NJEUX,No
2123-AGEEN,No
1258-YMZNM,No
0048-LUMLS,No
7549-MYGPK,Yes
5898-IGSLP,No
3804-RVTGV,Yes
6259-WJQLC,No
9227-LUNBG,Yes
7997-EASSD,No
0730-KOAVE,No
8975-SKGRX,No
0678-RLHVP,No
4315-MURBD,Yes
2267-FPIMA,No
1051-GEJLJ,No
9734-YWGEX,Yes
2719-BDAQO,Yes
5285-MVEHD,No
0379-DJQHR,No
0781-LKXBR,Yes
5543-QDCRY,No
0297-RBCSG,No
4694-PHWFW,No
0835-JKADZ,No
1907-UBQFC,Yes
7508-SMHXL,No
3865-YIOTT,No
5993-BQHEA,No
6024-RUGGH,No
6513-EECDB,Yes
3956-CJUST,No
4079-WWQQQ,No
6103-BOCOU,No
5149-TGWDZ,No
7471-WNSUF,No
8942-DBMHZ,No
4301-VVZKA,No
9199-PWQVC,No
4824-GUCBY,No
5393-HJZSM,No
7074-IEVOJ,Yes
9625-QSTYE,Yes
0862-PRCBS,No
8812-ZRHFP,No
5146-CBVOE,No
0454-OKRCT,No
5787-KXGIY,No
4750-ZRXIU,Yes
4198-VFOEA,No
6630-UJZMY,No
5709-LVOEQ,No
6400-BWQKW,Yes
2692-AQCPF,No
0347-UBKUZ,No
0835-DUUIQ,No
0811-GSDTP,No
7567-ECMCM,No
6115-ZTBFQ,No
6353-BRMMA,No
6680-WKXRZ,Yes
6231-WFGFH,No
9904-EHEVJ,No
7028-DVOIQ,Yes
6169-PPETC,No
4208-UFFGW,Yes
8584-KMVXD,No
8467-WYNSR,No
0851-DFJKB,No
5382-SOYZL,No
9448-REEVD,Yes
3261-CQXOL,No
8388-FYNPZ,No
4002-BQWPQ,No
5651-YLPRD,No
2826-DXLQO,No
4378-BZYFP,No
9489-UTFKA,No
4849-PYRLQ,No
9117-SHLZX,Yes
9889-TMAHG,Yes
4541-RMRLG,Yes
7764-BDPEE,No
3429-IFLEM,No
3158-MOERK,Yes
7294-TMAOP,Yes
5002-GCQFH,No
0556-FJEGU,No
8919-FYFQZ,Yes
0604-THJFP,No
2834-JRTUA,Yes
5875-YPQFJ,Yes
5879-SESNB,No
6646-QVXLR,Yes
6461-PPAXN,No
3318-ISQFQ,No
1106-HRLKZ,No
2483-XSSMZ,No
8603-IJWDN,Yes
8165-ZJRNM,No
9369-XFEHK,Yes
2604-XVDAM,No
3717-OFRTN,No
9046-JBFWA,No
3280-NMUVX,No
1206-EHBDD,No
8361-LBRDI,No
4883-KCPZJ,No
9108-EQPNQ,No
7277-KAMWT,No
3842-IYKUE,Yes
6641-XRPSU,Yes
1374-DMZUI,Yes
2545-LXYVJ,No
3234-VKACU,No
8357-EQXFO,Yes
1989-PRJHP,Yes
8120-JDCAM,No
8917-FAEMR,No
7047-YXDMZ,No
2858-EIMXH,No
9524-EGPJC,Yes
6993-OHLXR,Yes
8818-XYFCQ,Yes
6419-ZTTLE,No
0929-HYQEW,No
6614-YOLAC,No
7426-RHZGU,No
4065-JJAVA,No
4695-VADHF,Yes
3863-IUBJR,Yes
7649-SIJJF,No
9361-YNQWJ,No
3748-FVMZZ,No
9391-TTOYH,No
1452-XRSJV,No
3422-WJOYD,No
8242-SOQUO,No
7460-ITWWP,No
7147-AYBAA,No
7868-TMWMZ,No
4822-RVYBB,Yes
6732-FZUGP,No
8436-BJUMM,Yes
4184-TJFAN,Yes
8329-GWVPJ,No
1352-VHKAJ,No
4145-UQXUQ,Yes
2632-TACXW,No
8146-QQKZH,No
1767-CJKBA,No
6445-TNRXS,No
4581-LNWUM,No
4869-EPIUS,No
9948-YPTDG,Yes
1236-WFCDV,Yes
1915-OAKWD,No
7296-PIXQY,No
4883-QICIH,Yes
3354-OADJP,No
3524-WQDSG,No
0810-DHDBD,No
4026-SKKHW,No
2829-HYVZP,No
8329-IBCTI,Yes
1271-SJBGZ,Yes
3845-JHAMY,No
7013-PSXHK,No
5669-SRAIP,Yes
5981-ITEMU,Yes
3486-NPGST,No
6941-PMGEP,Yes
1624-WOIWJ,Yes
2074-GKOWZ,Yes
0376-YMCJC,Yes
6100-FJZDG,No
4829-ZLJTK,No
1730-VFMWO,No
7143-BQIBA,No
3800-LYTRK,No
0634-SZPQA,Yes
9646-NMHXE,No
7030-NJVDP,No
5536-RTPWK,Yes
8883-GRDWQ,No
6166-ILMNY,Yes
3097-NNSPB,Yes
7771-ZONAT,No
0655-RBDUG,Yes
2111-DWYHN,No
4194-WHFCB,No
4121-AGSIN,No
4361-BKAXE,Yes
9845-PEEKO,No
0455-XFASS,No
0301-KOBTQ,No
1751-NCDLI,No
4367-NUYAO,No
9878-TNQGW,Yes
9170-ARBTB,No
4441-NIHPT,Yes
8999-BOHSE,Yes
7241-AJHFS,No
7029-RPUAV,Yes
4546-FOKWR,No
9036-CSKBW,No
5832-TRLPB,No
8590-YFFQO,No
8659-IOOPU,No
1338-CECEE,No
7439-DKZTW,No
4646-QZXTF,No
4607-CHPCA,Yes
9742-XOKTS,No
6921-OZMFH,No
9578-FOMUK,No
4712-UYOOI,No
8824-RWFXJ,Yes
7722-CVFXN,No
8717-VCTXJ,No
7363-QTBIW,No
4159-NAAIX,No
0971-QIFJK,No
9397-TZSHA,No
3391-JSQEW,No
0343-QLUZP,No
9763-PDTKK,Yes
2176-LVPNX,No
7627-JKIAZ,Yes
3312-UUMZW,No
1271-UODNO,No
8461-EFQYM,No
6900-RBKER,No
6891-JPYFF,No
1459-QNFQT,No
1047-NNCBF,No
3696-XRIEN,No
4081-DYXAV,Yes
0074-HDKDG,No
8791-GFXLZ,No
8111-SLLHI,Yes
0927-LCSMG,Yes
9330-DHBFL,No
0098-BOWSO,No
3452-ABWRL,No
5859-HZYLF,No
8257-RZAHR,Yes
5293-WXJAK,Yes
3156-QLHBO,No
2208-NQBCT,No
1779-PWPMG,No
6621-NRZAK,No
0831-JNISG,No
0774-IFUVM,No
3082-WQRVY,No
9553-DLCLU,No
1641-BYBTK,No
2460-NGXBJ,No
2446-ZKVAF,No
0841-NULXI,Yes
3522-CDKHF,No
1430-SFQSA,No
0411-EZJZE,No
7851-WZEKY,Yes
8844-TONUD,Yes
8807-ARQET,No
8992-CEUEN,No
4320-QMLLA,No
8777-PVYGU,No
8292-ITGYJ,No
6870-ZWMNX,No
0621-CXBKL,No
5268-DSMNQ,No
5334-JLAXU,No
4086-YQSNZ,Yes
6242-MBHPK,No
5868-CZJDR,Yes
9359-UGBTK,No
0135-NMXAP,Yes
4782-OSFXZ,No
6479-OAUSD,No
7129-ACFOG,No
4189-NAKJS,No
5562-BETPV,No
1282-IHQAC,No
9127-FHJBZ,No
6270-OMFIW,Yes
1641-RQDAY,No
0107-WESLM,Yes
6994-ORCWG,No
1346-UFHAX,No
3992-YWPKO,Yes
2933-XEUJM,No
0125-LZQXK,Yes
5461-QKNTN,No
4835-YSJMR,No
8399-YNDCH,Yes
3164-YAXFY,No
0887-WBJVH,No
4660-IRIBM,No
5673-FSSMF,Yes
7670-ZBPOQ,No
8089-UZWLX,No
0080-OROZO,No
3916-NRPAP,No
6807-SIWJI,No
8221-HVAYI,No
1579-KLYDT,Yes
5232-NXPAY,No
8967-SZQAS,No
4468-KAZHE,No
0455-ENTCR,No
8944-AILEF,No
5542-NKVRU,No
7126-RBHSD,No
5370-IIVVL,No
6789-HJBWG,No
3927-NLNRY,Yes
9087-EYCPR,No
6791-YBNAK,No
6358-LYNGM,Yes
6077-BDPXA,No
