age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
39,blue-collar,married,tertiary,no,-33,yes,no,,7,may,62,5,-1,0,,no
43,entrepreneur,married,primary,no,526,yes,no,,7,may,79,4,-1,0,,no
52,technician,married,,no,133,yes,no,,7,may,253,8,-1,0,,no
47,technician,married,primary,no,145,yes,no,,7,may,157,6,-1,0,,no
30,services,divorced,secondary,no,98,yes,no,,7,may,155,1,-1,0,,no
28,management,married,tertiary,no,3,yes,no,,7,may,122,5,-1,0,,no
37,blue-collar,married,secondary,no,374,yes,no,,7,may,944,3,-1,0,,no
33,technician,married,secondary,no,367,yes,yes,,7,may,22,2,-1,0,,no
48,technician,married,secondary,no,720,yes,no,,8,may,177,3,-1,0,,no
29,admin.,single,secondary,no,1117,yes,no,,8,may,77,2,-1,0,,no
28,blue-collar,married,secondary,no,597,yes,no,,8,may,223,2,-1,0,,no
32,admin.,single,secondary,no,89,yes,yes,,8,may,308,3,-1,0,,no
30,services,married,secondary,no,442,yes,no,,8,may,137,2,-1,0,,no
34,blue-collar,single,secondary,yes,-947,yes,no,,8,may,211,3,-1,0,,no
36,blue-collar,married,secondary,no,-147,yes,no,,8,may,156,1,-1,0,,no
36,technician,married,secondary,no,83,yes,no,,8,may,178,1,-1,0,,no
39,blue-collar,married,secondary,no,125,yes,no,,8,may,142,1,-1,0,,no
27,services,divorced,secondary,no,96,yes,no,,8,may,31,1,-1,0,,no
42,entrepreneur,married,primary,no,198,yes,no,,8,may,314,1,-1,0,,no
56,management,divorced,tertiary,no,177,yes,no,,8,may,1040,1,-1,0,,no
41,entrepreneur,divorced,tertiary,no,-413,yes,no,,8,may,170,2,-1,0,,no
39,admin.,married,secondary,no,419,yes,yes,,8,may,35,1,-1,0,,no
28,blue-collar,married,secondary,no,134,yes,no,,8,may,262,1,-1,0,,no
31,management,single,tertiary,no,7444,yes,yes,,8,may,20,1,-1,0,,no
48,technician,divorced,secondary,no,177,yes,no,,8,may,471,1,-1,0,,no
42,technician,married,secondary,no,0,yes,no,,8,may,66,2,-1,0,,no
24,services,married,secondary,no,620,yes,no,,8,may,144,1,-1,0,,no
41,management,married,tertiary,no,1773,no,no,,8,may,106,1,-1,0,,no
34,blue-collar,married,secondary,no,80,yes,yes,,8,may,494,1,-1,0,,no
40,blue-collar,single,secondary,no,1,yes,no,,8,may,190,1,-1,0,,no
48,blue-collar,married,primary,no,4,yes,no,,8,may,198,1,-1,0,,no
36,entrepreneur,married,,no,298,yes,no,,8,may,215,1,-1,0,,no
46,blue-collar,single,secondary,no,152,yes,no,,8,may,33,4,-1,0,,no
32,blue-collar,married,secondary,no,715,yes,no,,8,may,108,2,-1,0,,no
40,management,married,tertiary,no,121,no,no,,8,may,82,1,-1,0,,no
36,blue-collar,married,primary,no,250,yes,no,,8,may,149,1,-1,0,,no
35,technician,single,secondary,no,365,yes,no,,8,may,256,2,-1,0,,no
31,management,single,tertiary,no,1315,yes,no,,8,may,156,1,-1,0,,no
36,management,married,tertiary,no,1852,no,no,,8,may,362,1,-1,0,,no
44,blue-collar,single,secondary,no,36,yes,no,,8,may,712,1,-1,0,,no
157,management,married,tertiary,no,2261,yes,no,,8,may,1007,1,-1,0,,no
34,blue-collar,single,secondary,no,177,yes,no,,8,may,500,1,-1,0,,no
49,admin.,divorced,secondary,no,168,yes,yes,,8,may,513,1,-1,0,,yes
50,services,divorced,secondary,no,145,yes,no,,8,may,170,1,-1,0,,no
50,technician,married,secondary,no,389,yes,no,,8,may,110,1,-1,0,,no
43,blue-collar,married,primary,no,-77,yes,no,,8,may,468,1,-1,0,,no
37,services,married,secondary,no,50,yes,no,,8,may,352,3,-1,0,,no
28,self-employed,married,tertiary,no,120,yes,yes,,8,may,130,3,-1,0,,no
28,admin.,divorced,secondary,no,785,yes,no,,8,may,442,2,-1,0,,yes
31,services,married,secondary,no,28,yes,no,,8,may,101,1,-1,0,,no
38,blue-collar,married,primary,no,668,no,no,,8,may,238,1,-1,0,,no
32,management,single,tertiary,no,3,yes,no,,8,may,161,1,-1,0,,no
30,blue-collar,married,primary,no,70,yes,yes,,8,may,461,3,-1,0,,no
46,blue-collar,married,primary,no,587,yes,no,,8,may,173,2,-1,0,,no
40,management,single,tertiary,no,-275,yes,no,,8,may,219,2,-1,0,,no
38,blue-collar,single,primary,no,162,yes,no,,8,may,200,2,-1,0,,no
36,services,divorced,secondary,no,241,yes,no,,8,may,133,1,-1,0,,no
26,blue-collar,single,secondary,no,-132,no,no,,8,may,12,1,-1,0,,no
44,services,single,secondary,no,1378,yes,no,,8,may,257,2,-1,0,,no
43,blue-collar,married,primary,no,-192,yes,no,,8,may,1120,2,-1,0,,yes
43,services,single,,no,193,yes,no,,8,may,74,7,-1,0,,no
51,management,married,tertiary,no,751,no,no,,8,may,261,5,-1,0,,no
42,blue-collar,married,secondary,no,376,yes,no,,8,may,15,1,-1,0,,no
30,services,married,secondary,no,80,yes,no,,8,may,185,2,-1,0,,no
50,management,divorced,tertiary,no,704,yes,no,,8,may,233,2,-1,0,,no
36,blue-collar,married,,no,70,yes,no,,8,may,219,4,-1,0,,no
41,management,married,tertiary,no,393,yes,no,,8,may,110,2,-1,0,,no
44,technician,single,secondary,no,365,yes,no,,8,may,169,2,-1,0,,no
40,blue-collar,single,secondary,no,879,yes,yes,,8,may,248,3,-1,0,,no
27,student,single,secondary,no,0,no,no,,8,may,93,2,-1,0,,no
38,unemployed,married,primary,no,1147,yes,yes,,8,may,249,5,-1,0,,no
33,admin.,married,secondary,no,61,yes,yes,,8,may,116,2,-1,0,,no
50,blue-collar,married,primary,no,749,no,no,,8,may,297,2,-1,0,,no
51,blue-collar,married,primary,no,202,yes,no,,8,may,200,2,-1,0,,no
32,blue-collar,married,secondary,no,20,yes,yes,,8,may,117,3,-1,0,,no
52,blue-collar,married,secondary,no,-17,yes,no,,8,may,37,3,-1,0,,no
44,blue-collar,married,secondary,no,138,yes,no,,8,may,283,3,-1,0,,no
34,admin.,married,tertiary,no,221,yes,no,,8,may,185,4,-1,0,,no
41,blue-collar,single,secondary,no,1080,yes,yes,,8,may,192,4,-1,0,,no
33,admin.,married,secondary,no,4012,no,yes,,8,may,337,4,-1,0,,no
35,management,married,tertiary,yes,89,no,yes,,8,may,166,3,-1,0,,no
53,blue-collar,divorced,secondary,no,145,yes,no,,8,may,193,1,-1,0,,no
36,technician,married,tertiary,no,491,yes,no,,8,may,103,3,-1,0,,no
35,management,married,tertiary,no,820,yes,no,,8,may,287,4,-1,0,,no
39,blue-collar,married,secondary,no,507,yes,no,,8,may,136,2,-1,0,,no
41,blue-collar,married,primary,no,-97,yes,no,,8,may,260,5,-1,0,,no
33,services,married,secondary,no,5034,yes,no,,8,may,207,3,-1,0,,no
31,blue-collar,married,secondary,no,-13,yes,no,,9,may,260,3,-1,0,,no
32,admin.,single,tertiary,no,490,yes,no,,9,may,94,2,-1,0,,no
40,blue-collar,married,primary,no,2171,yes,no,,9,may,97,1,-1,0,,no
27,admin.,single,,no,230,yes,no,,9,may,371,1,-1,0,,no
28,admin.,single,tertiary,no,422,yes,no,,9,may,274,1,-1,0,,no
32,services,married,secondary,no,2068,yes,yes,,9,may,143,1,-1,0,,no
34,management,single,tertiary,no,-322,no,no,,9,may,198,1,-1,0,,no
32,technician,single,tertiary,no,190,yes,yes,,9,may,352,1,-1,0,,no
31,admin.,married,secondary,no,307,yes,no,,9,may,538,1,-1,0,,yes
32,blue-collar,divorced,secondary,no,739,yes,no,,9,may,171,1,-1,0,,no
26,blue-collar,single,secondary,no,153,yes,no,,9,may,386,1,-1,0,,no
49,self-employed,married,tertiary,no,1842,yes,no,,9,may,124,2,-1,0,,no
59,management,single,secondary,no,181,yes,no,,9,may,485,1,-1,0,,no
29,admin.,married,secondary,no,0,yes,no,,9,may,121,1,-1,0,,no
46,blue-collar,married,secondary,no,-3,yes,no,,9,may,92,2,-1,0,,no
32,self-employed,single,secondary,no,123,yes,no,,9,may,278,1,-1,0,,no
31,admin.,married,secondary,no,535,no,no,,9,may,249,3,-1,0,,no
26,services,single,secondary,no,302,yes,no,,9,may,210,1,-1,0,,no
27,services,single,secondary,no,4,yes,yes,,9,may,490,1,-1,0,,no
32,admin.,single,secondary,no,-227,yes,yes,,9,may,646,1,-1,0,,no
37,technician,divorced,secondary,no,1981,yes,no,,9,may,106,1,-1,0,,no
60,management,divorced,,no,404,yes,no,,9,may,95,2,-1,0,,no
36,blue-collar,divorced,,no,0,yes,no,,9,may,377,1,-1,0,,no
31,services,divorced,secondary,no,1656,yes,no,,9,may,208,3,-1,0,,no
58,blue-collar,married,primary,no,-91,yes,no,,9,may,164,5,-1,0,,no
33,blue-collar,married,primary,no,134,yes,no,,9,may,91,2,-1,0,,no
30,management,single,tertiary,no,1108,yes,yes,,9,may,261,1,-1,0,,no
35,blue-collar,married,primary,no,108,yes,no,,9,may,200,4,-1,0,,no
34,technician,single,tertiary,no,2257,yes,no,,9,may,62,1,-1,0,,no
33,blue-collar,married,secondary,no,269,yes,no,,9,may,365,1,-1,0,,no
32,admin.,single,secondary,no,708,no,no,,9,may,109,1,-1,0,,no
28,blue-collar,single,secondary,no,-197,yes,no,,9,may,2016,2,-1,0,,yes
37,technician,married,secondary,no,277,yes,no,,9,may,251,2,-1,0,,no
46,blue-collar,married,primary,no,1726,yes,yes,,9,may,195,1,-1,0,,no
35,management,married,tertiary,no,1510,yes,no,,9,may,61,1,-1,0,,no
38,blue-collar,married,secondary,no,171,yes,no,,9,may,286,5,-1,0,,no
29,technician,single,tertiary,no,542,yes,no,,9,may,338,3,-1,0,,no
55,technician,married,secondary,no,2313,yes,no,,9,may,551,2,-1,0,,no
35,technician,single,secondary,no,300,yes,no,,9,may,338,4,-1,0,,no
57,self-employed,married,tertiary,yes,-3313,yes,yes,,9,may,153,1,-1,0,,no
49,blue-collar,married,primary,no,352,yes,no,,9,may,188,2,-1,0,,no
35,management,single,secondary,no,6809,yes,no,,9,may,750,7,-1,0,,no
31,blue-collar,single,secondary,no,216,yes,no,,9,may,128,1,-1,0,,no
39,entrepreneur,married,tertiary,no,338,yes,no,,9,may,107,4,-1,0,,no
31,management,single,tertiary,no,0,yes,no,,9,may,94,3,-1,0,,no
29,blue-collar,married,primary,no,608,yes,no,,9,may,184,2,-1,0,,no
29,student,single,secondary,no,510,yes,no,,9,may,25,6,-1,0,,no
31,services,single,secondary,yes,68,yes,no,,9,may,169,2,-1,0,,no
29,admin.,single,secondary,no,43,yes,no,,9,may,179,2,-1,0,,no
25,admin.,married,secondary,no,10,yes,no,,9,may,393,2,-1,0,,no
38,admin.,married,secondary,no,253,yes,no,,9,may,515,4,-1,0,,no
50,blue-collar,divorced,primary,no,31,yes,no,,9,may,237,3,-1,0,,no
57,blue-collar,married,secondary,no,221,yes,no,,9,may,122,2,-1,0,,no
53,management,married,tertiary,no,913,yes,no,,9,may,244,4,-1,0,,no
56,admin.,divorced,secondary,yes,-435,yes,yes,,9,may,185,2,-1,0,,no
35,self-employed,married,secondary,no,351,yes,no,,9,may,298,2,-1,0,,no
52,management,married,primary,no,226,yes,no,,9,may,86,4,-1,0,,no
28,self-employed,single,secondary,no,123,yes,no,,9,may,97,1,-1,0,,no
47,blue-collar,married,secondary,no,8,no,no,,9,may,64,4,-1,0,,no
42,blue-collar,married,secondary,no,333,yes,no,,9,may,190,3,-1,0,,no
49,admin.,married,secondary,yes,15,no,no,,12,may,290,5,-1,0,,no
34,admin.,divorced,secondary,no,-220,yes,yes,,12,may,115,4,-1,0,,no
54,admin.,married,secondary,no,42,yes,no,,12,may,192,2,-1,0,,no
35,blue-collar,married,secondary,no,325,no,no,,12,may,592,2,-1,0,,no
31,blue-collar,married,primary,no,0,yes,yes,,12,may,59,4,-1,0,,no
40,services,single,secondary,no,737,yes,no,,12,may,117,2,-1,0,,no
32,management,single,tertiary,no,311,no,no,,12,may,757,2,-1,0,,yes
28,blue-collar,single,secondary,yes,-871,yes,no,,12,may,36,4,-1,0,,no
55,technician,married,secondary,no,276,yes,no,,12,may,486,1,-1,0,,no
33,admin.,single,secondary,no,395,yes,no,,12,may,95,8,-1,0,,no
27,blue-collar,single,secondary,no,3675,no,no,,12,may,101,2,-1,0,,no
43,blue-collar,married,primary,no,0,yes,no,,12,may,3,1,-1,0,,no
28,technician,single,secondary,no,-219,yes,no,,12,may,386,2,-1,0,,no
31,technician,single,secondary,no,628,yes,no,,12,may,1083,2,-1,0,,no
23,admin.,single,secondary,no,290,yes,no,,12,may,163,4,-1,0,,no
24,blue-collar,single,secondary,no,117,yes,yes,,12,may,470,1,-1,0,,no
32,unemployed,married,primary,no,324,yes,no,,12,may,577,1,-1,0,,no
30,management,divorced,secondary,no,37,no,no,,12,may,262,2,-1,0,,no
31,blue-collar,divorced,secondary,no,387,yes,no,,12,may,220,3,-1,0,,no
24,student,single,tertiary,no,1535,yes,no,,12,may,126,2,-1,0,,no
28,technician,single,secondary,no,205,yes,no,,12,may,92,3,-1,0,,no
33,self-employed,married,primary,no,1862,yes,no,,12,may,65,1,-1,0,,no
32,services,married,secondary,no,206,yes,yes,,12,may,370,1,-1,0,,no
23,admin.,single,secondary,no,1104,yes,no,,12,may,120,2,-1,0,,no
34,admin.,married,secondary,no,247,yes,yes,,12,may,1727,5,-1,0,,no
46,entrepreneur,married,tertiary,no,-43,no,no,,12,may,138,8,-1,0,,no
40,management,single,tertiary,no,867,yes,yes,,12,may,145,4,-1,0,,no
32,management,single,tertiary,no,1345,yes,no,,12,may,289,3,-1,0,,no
46,services,married,secondary,no,1474,yes,no,,12,may,148,3,-1,0,,no
49,blue-collar,married,secondary,no,783,yes,no,,12,may,166,4,-1,0,,no
53,blue-collar,married,primary,no,6386,yes,no,,12,may,170,8,-1,0,,no
35,blue-collar,married,primary,no,-12,yes,no,,12,may,212,5,-1,0,,no
55,blue-collar,married,primary,no,431,yes,no,,12,may,68,2,-1,0,,no
37,blue-collar,single,secondary,no,336,yes,no,,12,may,152,5,-1,0,,no
45,services,single,secondary,no,141,yes,no,,12,may,111,4,-1,0,,no
35,management,divorced,tertiary,no,36,yes,no,,13,may,182,6,-1,0,,no
22,blue-collar,single,primary,no,-168,yes,no,,13,may,160,3,-1,0,,no
31,blue-collar,married,secondary,no,472,yes,no,,13,may,907,2,-1,0,,no
22,services,single,secondary,no,395,yes,no,,13,may,70,1,-1,0,,no
26,technician,single,secondary,no,24299,yes,no,,13,may,704,1,-1,0,,no
33,management,divorced,secondary,no,5,yes,no,,13,may,1346,1,-1,0,,yes
