绊按ID,备概陛咀
绊按1,37100
绊按1,18370
绊按7,35790
绊按4,13570
绊按2,12510
绊按5,46050
绊按10,8540
绊按6,19250
绊按9,8910
绊按2,33990
绊按2,31780
绊按3,28460
绊按3,6980
绊按6,20540
绊按10,46980
绊按2,44850
绊按6,18380
绊按9,22220
绊按5,8860
绊按3,43680
绊按6,28200
绊按7,12790
绊按9,6840
绊按5,26440
绊按10,36990
绊按5,33470
绊按3,39110
绊按8,16350
绊按7,27920
绊按3,10730
绊按4,29230
绊按10,47200
绊按2,15850
绊按8,43660
绊按1,14120
绊按6,27850
绊按9,42040
绊按9,18920
绊按10,5680
绊按4,22550
绊按8,42520
绊按6,15680
绊按2,5670
绊按6,24210
绊按1,8830
绊按10,24170
绊按8,18660
绊按1,49900
绊按4,19150
绊按8,22660
绊按5,18980
绊按10,43170
绊按2,45400
绊按8,33730
绊按7,44780
绊按6,10360
绊按10,48720
绊按6,15210
绊按6,34210
绊按10,14560
绊按5,41410
绊按8,44210
绊按3,33170
绊按4,47350
绊按7,47270
绊按2,8400
绊按8,49720
绊按9,11420
绊按9,10640
绊按3,47070
绊按7,26370
绊按4,42200
绊按8,41440
绊按7,43940
绊按10,43940
绊按5,26120
绊按10,18230
绊按9,10840
绊按5,12270
绊按6,6510
绊按3,13860
绊按5,10680
绊按6,8160
绊按3,45360
绊按6,11480
绊按3,39830
绊按2,45510
绊按7,33260
绊按7,11000
绊按4,22070
绊按5,16750
绊按6,20190
绊按4,31890
绊按5,21640
绊按7,19880
绊按2,35530
绊按8,10890
绊按5,14380
绊按8,31590
绊按8,23900
绊按10,39300
绊按10,49050
绊按4,45980
绊按4,32980
绊按8,33390
绊按3,28930
绊按1,39460
绊按3,43440
绊按5,38900
绊按5,47500
绊按6,24860
绊按7,44930
绊按8,32930
绊按6,11070
绊按2,26280
绊按10,14580
绊按10,19770
绊按5,35320
绊按7,21490
绊按3,22770
绊按3,26980
绊按3,24060
绊按6,17550
绊按4,11740
绊按7,35370
绊按10,37210
绊按8,10730
绊按6,25610
绊按7,17660
绊按6,19960
绊按3,48350
绊按10,5130
绊按9,9320
绊按2,11960
绊按1,40800
绊按3,7330
绊按1,26730
绊按4,35210
绊按4,10880
绊按6,22230
绊按8,8820
绊按5,46810
绊按3,20730
绊按5,23340
绊按10,22750
绊按9,5950
绊按10,10060
绊按6,44770
绊按10,38250
绊按7,28500
绊按2,26060
绊按7,19540
绊按9,6370
绊按1,25920
绊按4,24480
绊按8,45900
绊按7,33180
绊按2,6390
绊按5,29040
绊按2,48920
绊按4,27370
绊按5,11500
绊按3,13800
绊按4,48160
绊按5,43570
绊按4,27570
绊按10,34170
绊按8,39410
绊按3,19100
绊按5,39810
绊按2,36550
绊按6,6900
绊按7,20720
绊按9,18980
绊按3,21230
绊按7,38700
绊按9,36240
绊按3,22690
绊按5,7480
绊按10,12620
绊按1,14170
绊按8,29360
绊按9,44030
绊按7,33180
绊按4,46410
绊按1,5760
绊按9,40740
绊按10,12100
绊按3,32070
绊按5,26180
绊按9,45590
绊按8,10900
绊按2,18630
绊按9,19130
绊按7,13490
绊按5,7070
绊按10,25280
绊按10,26610
绊按4,10780
绊按6,12210
绊按4,29930
绊按4,41520
绊按10,17550
绊按3,27010
绊按6,23390
绊按5,8470
绊按4,38840
绊按1,45060
绊按1,44100
绊按5,9360
绊按3,16830
绊按7,43990
绊按10,17130
绊按9,9730
绊按1,13850
绊按5,30310
绊按8,30190
绊按2,5400
绊按5,45940
绊按4,34640
绊按10,34430
绊按8,43070
绊按6,42660
绊按7,13980
绊按10,15920
绊按7,40540
绊按9,26970
绊按3,7130
绊按10,37360
绊按4,42620
绊按8,13450
绊按7,47620
绊按6,18080
绊按6,39920
绊按4,37460
绊按3,33710
绊按1,27560
绊按10,48520
绊按7,5040
绊按8,25060
绊按4,12920
绊按8,41280
绊按1,10110
绊按1,8330
绊按6,40470
绊按7,5170
绊按1,29420
绊按9,35790
绊按7,9560
绊按8,30370
绊按7,15890
绊按1,8440
绊按5,5590
绊按10,28060
绊按3,34690
绊按3,8650
绊按9,39720
绊按3,25660
绊按8,25610
绊按10,29900
绊按9,8860
绊按4,20690
绊按4,22790
绊按3,31200
绊按4,10970
绊按5,21070
绊按3,41980
绊按2,25870
绊按9,14550
绊按1,45160
绊按8,10000
绊按3,37490
绊按7,12000
绊按10,49490
绊按4,47630
绊按6,35370
绊按2,41710
绊按4,11840
绊按8,19280
绊按6,19060
绊按5,22190
绊按4,13260
绊按9,6910
绊按9,26980
绊按6,29270
绊按9,5590
绊按4,37330
绊按1,6520
绊按2,19640
绊按10,16580
绊按3,36740
绊按4,26560
绊按8,11690
绊按3,30880
绊按8,20230
绊按7,43290
绊按3,15700
绊按7,35160
绊按2,47950
绊按4,22220
绊按4,6340
绊按8,43570
绊按1,42990
绊按5,32700
绊按3,15990
绊按4,8240
绊按6,5110
绊按8,19690
绊按9,22340
绊按2,28900
绊按10,5900
绊按4,28980
绊按9,48640
绊按8,49250
绊按6,41050
绊按4,38130
绊按7,11740
绊按7,42720
绊按2,46680
绊按1,20130
绊按7,28610
绊按6,14090
绊按10,12660
绊按7,49210
绊按8,43210
绊按3,11940
绊按10,9460
绊按4,12280
绊按8,29550
绊按9,22350
绊按7,26060
绊按9,20130
绊按1,17860
绊按5,20260
绊按7,41740
绊按8,25970
绊按2,17430
绊按2,35500
绊按5,31000
绊按5,6110
绊按4,19200
绊按7,14860
绊按6,8650
绊按10,40950
绊按2,35260
绊按5,5150
绊按3,35200
绊按5,23870
绊按4,5570
绊按5,23750
绊按2,21600
绊按10,12640
绊按8,20660
绊按3,10850
绊按4,48240
绊按5,28070
绊按6,27380
绊按1,32580
绊按7,32350
绊按1,28000
绊按7,23550
绊按5,10330
绊按5,31090
绊按1,14440
绊按9,20690
绊按10,38330
绊按2,16750
绊按4,35500
绊按7,21240
绊按5,34190
绊按8,11830
绊按1,12230
绊按5,15320
绊按1,5840
绊按3,35260
绊按5,42970
绊按9,32780
绊按4,13340
绊按8,7510
绊按4,26070
绊按7,28670
绊按8,6970
绊按2,5160
绊按3,45840
绊按6,6300
绊按6,36180
绊按5,43800
绊按4,13370
绊按3,47890
绊按7,8100
绊按3,38150
绊按4,22490
绊按1,45380
绊按2,34650
绊按3,49390
绊按6,12450
绊按4,14580
绊按2,16480
绊按6,40850
绊按2,16030
绊按3,33840
绊按3,49720
绊按1,9600
绊按2,22290
绊按6,5150
绊按4,27070
绊按10,23990
绊按3,11400
绊按2,34200
绊按6,7350
绊按7,32560
绊按3,23450
绊按7,16110
绊按5,28120
绊按6,5210
绊按4,36260
绊按8,19920
绊按3,48200
绊按3,47580
绊按3,22570
绊按2,6950
绊按6,35600
绊按10,8230
绊按9,37170
绊按5,27670
绊按10,7580
绊按5,20850
绊按3,10990
绊按5,46770
绊按2,31330
绊按4,5000
绊按4,22910
绊按1,25240
绊按4,30960
绊按3,33640
绊按1,8910
绊按7,16650
绊按9,17510
绊按6,32540
绊按7,5690
绊按8,35040
绊按9,30750
绊按3,38530
绊按7,42850
绊按6,48170
绊按7,48020
绊按1,7680
绊按1,38760
绊按4,10940
绊按8,16550
绊按2,26590
绊按9,12170
绊按1,24270
绊按1,13420
绊按1,26320
绊按5,13040
绊按6,23810
绊按6,27390
绊按8,44700
绊按7,40420
绊按3,38320
绊按4,49010
绊按9,46440
绊按2,9980
绊按6,16500
绊按4,48280
绊按5,6510
绊按5,22940
绊按4,10640
绊按10,18090
绊按2,31720
绊按9,24520
绊按4,45390
绊按6,17830
绊按10,20730
绊按8,12980
绊按4,29600
绊按5,18590
绊按8,39420
绊按4,23810
绊按7,25300
绊按2,17620
绊按5,35480
绊按10,14120
绊按9,8750
绊按9,24460
绊按6,26580
绊按1,46400
绊按8,16650
绊按2,17240
绊按2,49540
绊按5,18540
绊按9,11790
绊按5,47910
绊按5,49070
绊按10,11410
绊按4,22920
绊按2,18060
绊按1,14070
绊按5,19370
绊按6,31340
绊按1,5180
绊按2,7470
绊按5,37000
绊按6,26900
绊按2,10370
绊按3,10060
绊按4,13470
绊按4,41990
绊按9,17350
绊按10,33240
绊按4,47200
绊按7,6200
绊按2,38250
绊按2,19660
绊按4,15210
绊按9,36500
绊按8,26790
绊按4,31500
绊按5,8920
绊按6,29400
绊按8,48180
绊按2,45400
绊按2,21660
绊按1,45160
绊按10,45970
绊按10,22940
绊按2,44330
绊按8,41270
绊按3,7520
绊按2,7210
绊按5,37760
绊按10,11610
